group_val,cat_col,diameter,group0,group1,n_group0,n_group1,test,statistic,p_value
SVD type 2,ICASS,RICA_diameter,1.71 [1.44–1.99],1.67 [1.34–2.01],12,5,Mann-Whitney U,30.0,1.0
SVD type 2,ICAS,BA_diameter,1.13 [0.94–1.32],1.19 [0.26–2.12],13,4,t-test,-0.28069214040353413,0.7827810334943732
SVD type 2,ICAS,LICA_diameter,1.71 [1.49–1.94],2.02 [1.52–2.51],13,4,Mann-Whitney U,14.0,0.20168067226890757
SVD type 2,ICAS,RICA_diameter,1.68 [1.42–1.94],1.78 [1.52–2.04],13,4,Mann-Whitney U,20.0,0.5487394957983193
SVD type 2,sex,BA_diameter,1.30 [1.09–1.51],0.78 [0.62–0.94],12,5,Mann-Whitney U,55.0,0.006140917905623788
SVD type 2,sex,LICA_diameter,1.95 [1.77–2.13],1.39 [1.08–1.69],12,5,Mann-Whitney U,57.0,0.002262443438914027
SVD type 2,sex,RICA_diameter,1.82 [1.59–2.05],1.42 [1.03–1.82],12,5,Mann-Whitney U,47.0,0.08177117000646413
SVD type 2,Alcohol,BA_diameter,1.13 [0.87–1.38],1.16 [0.83–1.50],8,9,Mann-Whitney U,34.0,0.8883587001234061
SVD type 2,Alcohol,LICA_diameter,1.69 [1.42–1.95],1.87 [1.55–2.19],8,9,Mann-Whitney U,26.0,0.37038255861785274
SVD type 2,Alcohol,RICA_diameter,1.66 [1.31–2.00],1.74 [1.45–2.03],8,9,Mann-Whitney U,30.0,0.6058412176059235
SVD type 2,Smoke,BA_diameter,1.20 [0.98–1.43],0.96 [0.47–1.45],13,4,Mann-Whitney U,36.0,0.2957983193277311
SVD type 2,Smoke,LICA_diameter,1.86 [1.64–2.08],1.53 [0.98–2.07],13,4,Mann-Whitney U,39.0,0.16302521008403362
SVD type 2,Smoke,RICA_diameter,1.75 [1.51–1.99],1.54 [0.98–2.10],13,4,Mann-Whitney U,32.0,0.5487394957983193
SVD type 2,HTN,BA_diameter,1.11 [0.82–1.40],1.18 [0.87–1.49],8,9,Mann-Whitney U,33.0,0.8148087206910737
SVD type 2,HTN,LICA_diameter,1.77 [1.45–2.09],1.80 [1.49–2.10],8,9,Mann-Whitney U,34.0,0.8883587001234061
SVD type 2,HTN,RICA_diameter,1.72 [1.40–2.04],1.69 [1.37–2.00],8,9,Mann-Whitney U,35.0,0.9625668449197862
